 Long   Lat    Vpn    Ani    Direc  
 56.75  22.25  8.074  0.046  126.3
 57.25  22.25  8.029  0.055  130.7
 57.75  22.25  8.002  0.053  128.4
 58.25  22.25  7.993  0.047  118.8
 58.75  22.25  7.990  0.045  102.4
 59.25  22.25  7.990  0.060   89.9
 59.75  22.25  7.994  0.078   85.5
 60.25  22.25  7.973  0.110   84.9
 60.75  22.25  7.958  0.133   85.3
 61.25  22.25  7.952  0.144   86.1
 61.75  22.25  7.956  0.144   87.2
 62.25  22.25  7.968  0.134   88.7
 62.75  22.25  7.988  0.116   90.1
 63.25  22.25  8.013  0.090   91.3
 63.75  22.25  8.041  0.060   93.2
 64.25  22.25  8.067  0.030   98.2
 64.75  22.25  8.091  0.009  126.8
 65.25  22.25  8.109  0.019  166.9
 65.75  22.25  8.120  0.029  173.3
 66.25  22.25  8.123  0.029  177.1
 66.75  22.25  8.121  0.020    1.4
 67.25  22.25  8.118  0.008    2.5
 67.75  22.25  8.119  0.006  129.5
 68.25  22.25  8.119  0.015  125.9
 68.75  22.25  8.120  0.027  138.2
 69.25  22.25  8.122  0.045  151.1
 69.75  22.25  8.117  0.076  162.9
 70.25  22.25  8.091  0.121  174.1
 70.75  22.25  8.051  0.173    1.7
 71.25  22.25  8.023  0.198    7.2
 71.75  22.25  7.981  0.201   14.6
 72.25  22.25  7.946  0.177   22.5
 72.75  22.25  7.923  0.141   31.9
 73.25  22.25  7.919  0.119   44.2
 73.75  22.25  7.944  0.109   57.2
 74.25  22.25  7.988  0.098   67.4
 74.75  22.25  8.028  0.069   74.6
 75.25  22.25  8.069  0.029   85.0
 75.75  22.25  8.096  0.030  156.6
 76.25  22.25  8.114  0.093  164.3
 76.75  22.25  8.130  0.148  165.7
 77.25  22.25  8.146  0.183  167.7
 77.75  22.25  8.163  0.194  170.9
 78.25  22.25  8.173  0.185  176.3
 78.75  22.25  8.160  0.174    2.2
 79.25  22.25  8.129  0.173    8.6
 79.75  22.25  8.102  0.173   15.2
 80.25  22.25  8.090  0.163   22.3
 80.75  22.25  8.085  0.140   28.4
 81.25  22.25  8.102  0.103   38.0
 81.75  22.25  8.132  0.072   57.1
 82.25  22.25  8.160  0.084   82.7
 82.75  22.25  8.172  0.120   95.3
 83.25  22.25  8.164  0.131  100.7
 83.75  22.25  8.152  0.112  104.2
 84.25  22.25  8.146  0.073  108.6
 84.75  22.25  8.137  0.030  129.7
 85.25  22.25  8.152  0.023  161.9
 85.75  22.25  8.172  0.019    9.7
 86.25  22.25  8.181  0.031   40.5
 86.75  22.25  8.163  0.053   51.8
 87.25  22.25  8.129  0.077   59.9
 87.75  22.25  8.095  0.109   66.0
 88.25  22.25  8.061  0.131   69.2
 88.75  22.25  8.033  0.131   71.5
 89.25  22.25  8.029  0.108   73.9
 89.75  22.25  8.064  0.065   79.2
 90.25  22.25  8.119  0.012  115.8
 90.75  22.25  8.164  0.076  163.5
 91.25  22.25  8.199  0.150  167.5
