Date,Event Latitude,Event Longitude,Event Depth,Mw,Fast Axis Orientation,Delay Time,Is Null?,Station Name,Station Latitude,Station Longitude,Bidirectional Circular Average at Stations (Sadeghi-Bagherabadi et al. 2018),Average Delay Time at Stations (Sadeghi-Bagherabadi et al. 2018),The Two Best Recorded Earthquakes
24-Aug-14,-14.5976,-73.5701,101,6.8,8.647526332,0.84,Yes,M11,34.3224,46.8167,156,1.33,
15-Apr-14,-53.527,8.704,12,6.9,-66.42453795,3.32,Yes,M11,34.3224,46.8167,156,1.33,
12-Oct-13,10.905,-62.315,63,6,30.00225383,0.68,Yes,M11,34.3224,46.8167,156,1.33,‡
15-Apr-14,-53.527,8.704,12,6.9,-60.37585687,1.82,No,M12,34.4104,46.9074,141,1.47,
19-Apr-14,-6.679,155.085,24,6.6,-26.7942582,1.56,No,M12,34.4104,46.9074,141,1.47,
5-Mar-14,-14.738,169.823,638,6.3,-24.12360525,1.54,No,M12,34.4104,46.9074,141,1.47,
1-May-14,-21.454,170.355,106,6.6,-47.12537511,0.96,No,M12,34.4104,46.9074,141,1.47,
7-Feb-14,-15.069,167.372,122,6.5,-8.272326474,2.16,Yes,M12,34.4104,46.9074,141,1.47,
13-Jan-14,19.043,-66.81,20,6.4,-56.78126231,1.14,Yes,M12,34.4104,46.9074,141,1.47,
12-Oct-13,10.905,-62.315,63,6,-65.9290229,2.34,Yes,M12,34.4104,46.9074,141,1.47,‡
1-Jan-14,-13.863,167.249,187,6.5,84.58114747,1.32,Yes,M12,34.4104,46.9074,141,1.47,†
1-Jan-14,-13.863,167.249,187,6.5,-29.43191475,1.6,No,M13,34.5433,47.0238,153,1.26,†
5-Mar-14,-14.738,169.823,638,6.3,-20.14377499,1.62,No,M13,34.5433,47.0238,153,1.26,
1-May-14,-21.454,170.355,106,6.6,-21.16829662,0.92,No,M13,34.5433,47.0238,153,1.26,
3-Apr-14,-20.268,-70.556,23,6.5,-38.69011466,0.88,No,M13,34.5433,47.0238,153,1.26,
13-Jan-14,19.043,-66.81,20,6.4,-64.69410807,3.04,Yes,M13,34.5433,47.0238,153,1.26,
18-Feb-14,14.668,-58.927,15,6.5,-70.87840292,3.66,Yes,M13,34.5433,47.0238,153,1.26,
12-Oct-13,10.905,-62.315,63,6,-73.83751831,2.82,Yes,M13,34.5433,47.0238,153,1.26,‡
15-Apr-14,-53.527,8.704,12,6.9,31.6871978,0.66,Yes,M13,34.5433,47.0238,153,1.26,
20-Apr-14,-7.165,155.335,20,6.2,-42.49304694,1.46,No,M14,34.6357,47.078,145,1.69,
19-Apr-14,-6.679,155.085,24,6.6,-44.76948317,1.5,No,M14,34.6357,47.078,145,1.69,
16-Oct-13,-6.446,154.931,35,6.8,-20.88111558,2.84,No,M14,34.6357,47.078,145,1.69,
1-May-14,-21.454,170.355,106,6.6,-33.21262962,0.94,No,M14,34.6357,47.078,145,1.69,
13-Jan-14,19.043,-66.81,20,6.4,-66.64998277,2,Yes,M14,34.6357,47.078,145,1.69,
12-Oct-13,10.905,-62.315,63,6,16.20984577,4,Yes,M14,34.6357,47.078,145,1.69,‡
15-Apr-14,-53.527,8.704,12,6.9,-64.28258153,2.4,Yes,M14,34.6357,47.078,145,1.69,
13-Jan-14,19.043,-66.81,20,6.4,27.40236763,3.96,Yes,M15,34.72713,47.14542,,,
12-Oct-13,10.905,-62.315,63,6,-67.73465132,1.24,Yes,M15,34.72713,47.14542,,,‡
20-Apr-14,-7.165,155.335,20,6.2,-32.46965783,1.8,No,M16,34.72713,47.14542,,,
13-Jan-14,19.043,-66.81,20,6.4,27.45650362,3.06,Yes,M16,34.72713,47.14542,,,
18-Feb-14,14.668,-58.927,15,6.5,17.25497188,2.46,Yes,M16,34.72713,47.14542,,,
15-Mar-14,-5.58,-80.957,29,6.3,-8.876156137,0.3,Yes,M16,34.72713,47.14542,,,
